28bdda2a93ce7c5a58ae49680c2be161,US Bank,LANPASS Visa Signature® Card,Visa,LANCHILE LANPASS Miles,$75.00
09b1b4f37d0653ad93d70e1ff718ad48,US Bank,LifeMiles Visa Signature® Card,Visa,TACA LifeMiles,$75.00
dd927288db7fa7826d25001d8fdc974b,Barclays,Frontier World MasterCard (No Annual Fee),MasterCard,Frontier Airlines Early Returns Miles,$0.00
39fd1f295e039725d53b4baa32cc4dd7,Chase,AirTran Airways Visa Signature (Annual Fee),Visa,Airtran Airways A+ Rewards Dollars,$69.00
0102509e1f9e2689a3309d659b1e7cf7,US Bank,AeroMexico Visa® Card,Visa,AeroMexico Club Premier Mile,$45.00
0746842664e8120b81ee58140961d76a,Capital One,Cash Rewards for Newcomers,MasterCard,Cash Back,$0.00
92bc0bf73cd2c9dc84564284a25b3d25,US Bank,Fred Meyer Rewards,Visa,Fred Meyer Rewards Points,$0.00
6ce522c72c3f8ccbac93d089ea884b52,Discover,Escape by Discover Card,Discover,Escape by Discover Card Miles,$0.00
84b79c13ca508a7d0b99ebdb3e20b96e,Citibank,AT&T Universal Savings Platinum Card,MasterCard,Cash Back,$0.00
3906bc216d7f6eb33bc84e11451992fe,Barclays,Barnes & Noble MasterCard®,MasterCard,Barnes and Noble Reward Points,$0.00
54e5d35f6fbe1f6f19a0555b2ee02c8b,Barclays,The Frontier Airlines World MasterCard®,MasterCard,Frontier Airlines Early Returns Miles,$69.00
3f7748d0662bfb78967619fd809f5a35,Chase,AirTran Airways Visa Signature,Visa,Airtran Airways A+ Rewards Dollars,$0.00
a6c0ffc266aa3fd02c6117b3d0c3b8f1,Barclays,Visa® Black Card™,Visa,Barclaycard Black Card Point,$495.00
0c9aebe744119c1a45b0a695e9c9504a,US Bank,SKYPASS Visa Classic Card,Visa,Korean Air Skypass Miles,$50.00
7f83da3287b3b076aadf3f38f4bd97a4,Citibank,Citi Gold/AAdvantage Visa Signature Card,Visa,American Airlines AAdvantage Miles,$50.00
b311228803e99e7eeb2bdb93f4777a18,Barclays,US Airways World MasterCard,MasterCard,US Airways Dividend Miles,$89.00
9d38704cc784198c35daaf1f4a623d96,US Bank,LifeMiles Visa Card,Visa,TACA LifeMiles,$45.00
e562a0567556845bcf186dc5c9087d6b,US Bank,LANPASS Visa Card,Visa,LANCHILE LANPASS Miles,$45.00
11b97f5c6eb4d600f60535323b4f6f48,US Bank,Gymboree Visa,Visa,Cash Back,$0.00
ad3fce179abff106e3c0ca74f272af84,Wells Fargo,Wells Fargo Cash Back Card,Visa,Cash Back,$0.00
e300d3a0ea5d28de178e0e5e4225432a,Wells Fargo,Wells Fargo Home Rebate Card,Visa,Cash Back,$0.00
bfa73baea187215965b439fc74abe082,American Express,Blue Sky from American Express®,American Express,Blue Sky Points,$0.00
870730a2aff09bb33aef387c0bc78586,Citibank,AT&T Universal Savings & Rewards Card,MasterCard,"Cash Back, Citi ThankYou Points",$0.00
4a35d796d3419c31c34b27553455239d,US Bank,FlexPerks Select Rewards Visa,Visa,US Bank FlexPerks Points,$0.00
04376c03f99e1a65bfa1fb1d7f9c8a2c,US Bank,SkyBlue SKYPASS Visa Card,Visa,Korean Air Skypass Miles,$0.00
c5f81a926b24c7c38c531025ca2810fb,Capital One,Capital One® Classic Platinum Credit Card,MasterCard,"",$39.00
e2d14309ca726090a91c5105e1c0d712,Citibank,Citi Secured MasterCard,MasterCard,"",$0.00
3b79eb5fd13a1a0ce276059f7f09d50c,Capital One,Capital One® Platinum Credit Card,MasterCard,"",$0.00
9b6dd404a0111935aea674124f6ca0a1,Chase,Chase Freedom®,Visa,Chase Freedom Ultimate Reward Point,$0.00
b19fd079e38e43872dac4959f0d45409,American Express,The Plum Card® from American Express,American Express,Cash Back,$250.00
39c1358d7814a17ab982e77e493d98e4,Bank of America,BankAmericard Rewards,Visa,Bank Americard Points,$0.00
f4e51e10e410bcf2145307175d604dac,Citibank,Citi® Hilton HHonors™ Reserve Card,Visa,Hilton HHonors Point,$95.00
7ae4621ddd63156b0dd3c84a5bca00cf,US Bank,U.S. Bank Cash+™ Visa Signature® Card,Visa,Cash Back,$0.00
acc857c9bc13c6ebfee41124ceff8c18,Citibank,Citi ThankYou® Preferred Card,Visa,Citi ThankYou Points,$0.00
fba05cb22e3679bdfcb03afebec13cb7,Citibank,Citi ThankYou® Premier Card,Visa,Citi ThankYou Points,$95.00
a4c077626d6e68680a5c9ce1380d8725,Citibank,Citi ThankYou® Card,Visa,Citi ThankYou Points,$0.00
cf1eefd8f9e35c90a8c5e48a70989f97,Chase,Chase Slate®,Visa,"",$0.00
bf51e60da5f1fc094c18ef49e0c227ac,Chase,Chase Sapphire Preferred® Card,Visa,Chase Ultimate Rewards Points,$95.00
a69a1e8dcf7ef0b9e8a319f1e5077ae7,Chase,Chase Sapphire® Card,Visa,Chase Ultimate Rewards Points,$0.00
39893c70324c77f919db0fe3d4d50752,Chase,Chase Sapphire® Card,MasterCard,Chase Ultimate Rewards Points,$0.00
0d9c507bb626b96de217f916715eb617,Chase,Chase Sapphire Preferred® Card,MasterCard,Chase Ultimate Rewards Points,$95.00
122610bd944631cab73b3d9290b0a69e,Chase,Southwest Airlines Rapid Rewards® Plus Card,Visa,Southwest Airlines Rapid Rewards Points,$69.00
19455f28e58828e838dad37673d39694,Chase,Southwest Airlines Rapid Rewards® Premier Credit Card,Visa,Southwest Airlines Rapid Rewards Points,$99.00
cdaf7048509c519c97525c92d05536d3,Chase,Chase Slate®,MasterCard,"",$0.00
f4980937f57fe5e08deed51de892c242,Chase,United MileagePlus® Explorer Card,Visa,United MileagePlus Miles,$95.00
b79e8eeba0698fda58340100905a4336,Chase,United MileagePlus® Club Card,Visa,United MileagePlus Miles,$450.00
4373df1134f8bbed369d8e65b7e7502d,Chase,AirTran Airways A+ Rewards,Visa,Airtran Airways A+ Rewards Dollars,$69.00
