code,city code,name
BHH,BHH,Bisha
BHI,BHI,Bahia Blanca
BHJ,BHJ,Bhuj
BHM,BHM,Birmingham International
BHO,BHO,Bhopal
BHU,BHU,Bhaunagar
BHX,BHX,Birmingham
BHY,BHY,Beihai
BIA,BIA,Poretta
BIK,BIK,Frans Kaisiepo
BIL,BIL,Billings Logan International
BIM,BIM,Alice Town
BIO,BIO,Bilbao
BIQ,ANG,Biarritz-bayonne
BIS,BIS,Bismarck
BJA,BJA,Bejaja
BJF,BJF,Batsfjord
BJI,BJI,Bemidji
BJL,BJL,Banjul International
BJM,BJM,Bujumbura International
BJR,BJR,Bahar Dar
BJV,BJV,Bodrum
BJX,BJX,Del Bajio
BJZ,BJZ,Badajoz
BKI,BKI,Kota Kinabalu International
BKK,BKK,Suvarnabhumi
BKO,BKO,Bamako Senou
BKQ,BKQ,Blackall
BKS,BKS,Bengkulu
BKW,BKW,Beckley
BLI,BLI,Bellingham International
BLJ,BLJ,Batna
BLL,BLL,Billund
BLQ,BLQ,Bologna
BLR,BLR,Bangalore
BLT,BLT,Blackwater
BLZ,BLZ,Chileka International
BMA,STO,Bromma
BME,BME,Broome
BMI,BMI,Central Illinois Regional
BMU,BMU,Bima
BMV,BMV,Buonmethuot
BMW,BMW,Bordj Badji Mokhtar
BNA,BNA,Nashville International
BNE,BNE,Brisbane International
BNI,BNI,Benin
BNK,BNK,Ballina Byron Bay
BNN,BNN,Bronnoysund
BNX,BNX,Banja Luka
BOD,BOD,Merignac
BOG,BOG,Eldorado International
BOH,BOH,Bournemouth
BOI,BOI,Boise Air Terminal
BOJ,BOJ,Bourgas
BOM,MUM,Mumbai
BON,KRA,Kralendijk
BOO,BOO,Bodo
BOS,BOS,General Edward Lawrence Logan International
BPN,BPN,Balikpapan
BPS,BPS,Porto Seguro
BPT,BPT,Southeast Texas Rgnl
BPX,BPX,Bangda
BQB,BQB,Brusselton
BQK,BQK,Brunswick
BQN,BQN,Aguadilla
BRC,BRC,San Carlos De Bariloche
BRD,BRD,Brainerd Lakes Regional
BRE,BRE,Bremen
BRI,BRI,Palese Macchie
BRN,BRN,Bern Belp
BRO,BRO,Brownsville South Padre Island International
BRS,BRS,Bristol
BRU,BRU,Brussels Natl
BRW,BRW,Wiley Post Will Rogers Mem
BSB,BSB,Presidente Juscelino Kubitschek
BSD,BSD,Baoshan
BSG,BSG,Bata
BSK,BSK,Biskra
BSL,BAS,Basel
BSR,BSR,Basrah International
