name,code,city_code,state_code,country_code
Angus Downs Airport,ANZ,,AU-NT,AU
Andulo Airport,ANL,,AO-BIE,AO
Cangamba Airport,CNZ,,AO-MOX,AO
Dirico Airport,DRC,,AO-CCU,AO
Lumbala Airport,GGC,,AO-MOX,AO
Jamba Airport,JMB,,AO-HUA,AO
Capanda Airport,KNP,,AO-MAL,AO
Ndalatandos Airport,NDF,,AO-CNO,AO
Aroa Airport,AOA,,PG-CPM,PG
Annanberg Airport,AOB,,PG-MPM,PG
Abou-Deïa Airport,AOD,,TD-SA,TD
Asapa Airport,APP,,PG-NPP,PG
April River Airport,APR,,PG-ESW,PG
Girdwood Airport,AQY,,US-AK,US
Bragado Airport,QRF,,AR-B,AR
Caleta Olivia Airport,CVI,,AR-Z,AR
Charata Airport,CNT,,AR-H,AR
General Villegas Airport,VGS,,AR-B,AR
Los Menucos Airport,LMD,,AR-R,AR
Saenz Peña Airport,SZQ,,AR-H,AR
Valcheta Airport,VCF,,AR-R,AR
Sunchales Aeroclub Airport,NCJ,,AR-S,AR
Carmen De Patagones Airport,CPG,,AR-B,AR
Termal Airport,PRQ,,AR-H,AR
Colonia Sarmiento Airport,OLN,,AR-U,AR
Aragip Airport,ARP,,PG-MBA,PG
Asbury Park Neptune Air Terminal,ARX,,US-NJ,US
Tau Airport,TAV,,AS-U-A,AS
Asirim Airport,ASZ,,PG-WBK,PG
Namatanai Airport,ATN,,PG-NIK,PG
Aitape Airport,ATP,,PG-SAN,PG
Lady Elliot Island Airstrip,LYT,,AU-QLD,AU
Agnew Airport,AGW,,AU-QLD,AU
Alroy Downs Airport,AYD,,AU-NT,AU
Baniyala Airport,BYX,,AU-NT,AU
Coolibah Airport,COB,,AU-NT,AU
Coorabie Airport,CRJ,,AU-SA,AU
Carlton Hill Airport,CRY,,AU-WA,AU
Cresswell Downs Airport,CSD,,AU-NT,AU
Diamantina Lakes Airport,DYM,,AU-QLD,AU
Hayman Island Resort Seaplane Base,HIS,,AU-QLD,AU
Helenvale Airport,HLV,,AU-QLD,AU
Kimberley Downs Airport,KBD,,AU-WA,AU
Kulgera Airport,KGR,,AU-NT,AU
Miranda Downs Airport,MWY,,AU-QLD,AU
Camballin Airport,MYO,,AU-WA,AU
Orchid Beach Airport,OKB,,AU-QLD,AU
Peppimenarti Airport,PEP,,AU-NT,AU
Rockhampton Downs Airport,RDA,,AU-NT,AU
Sturt Creek Airport,SSK,,AU-WA,AU
Shaw River Airport,SWB,,AU-WA,AU
Tom Price Airport,TPR,,AU-WA,AU
Torwood Airport,TWP,,AU-QLD,AU
Springvale Airport,ZVG,,AU-WA,AU
Aua Island Airport,AUI,,PG-MRL,PG
Ambunti Airport,AUJ,,PG-ESW,PG
Agaun Airport,AUP,,PG-MBA,PG
Aumo Airport,AUV,,PG-WBK,PG
Alowe Airport,AWE,,GA-3,GA
Awar Airport,AWR,,PG-MPM,PG
Alxa Left Banner-Bayanhot Airport,AXF,,CN-15,CN
Kompiam Airport,KPM,,PG-EPW,PG
Buka Airport,BUA,,PG-NSB,PG
Biaru Airport,BRP,,PG-MPL,PG
Chimbu Airport,CMU,,PG-CPK,PG
Munduku Airport,MDM,,PG-ESW,PG
Kondobol Airport,KPF,,PG-WPD,PG
Dinangat Airport,DNU,,PG-MPL,PG
Doini Airport,DOI,,PG-MBA,PG
Daru Airport,DAU,,PG-WPD,PG
Embessa Airport,EMS,,PG-NPP,PG
Edwaki Airport,XYR,,PG-SAN,PG
Eliptamin Airport,EPT,,PG-SAN,PG
Engati Airstrip,EGA,,PG-MPL,PG
Emo River Airstrip,EMO,,PG-NPP,PG
Erume Airport,ERU,,PG-CPM,PG
Meselia Airport,MFZ,,PG-WBK,PG
Feramin Airport,FRQ,,PG-SAN,PG
Frieda River Airport,FAQ,,PG-ESW,PG
Fuma Airport,FUM,,PG-WPD,PG
Goroka Airport,GKA,GKA,PG-EHG,PG
Guari Airport,GUG,,PG-CPM,PG
Garasa Airport,GRL,,PG-MPL,PG
Gurney Airport,GUR,,PG-MBA,PG
Gusap Airport,GAP,,PG-GPK,PG
Girua Airport,PNP,,PG-NPP,PG
Gasuke Airport,GBC,,PG-WPD,PG
Habi Airport,HBD,,PG-WPD,PG
Heiweni Airport,HNI,,PG-MPL,PG
Honinabi Airport,HNN,,PG-WPD,PG
Kimbe Airport,HKN,HKN,PG-WBK,PG
Haivaro Airport,HIT,,PG-GPK,PG
Imane Airport,IMN,,PG-MPL,PG
Kungim Airport,KGM,,PG-WPD,PG
Imonda Airport,IMD,,PG-SAN,PG
Ialibu Airport,IAL,,PG-SHM,PG
Yongai Airport,KGH,,PG-CPM,PG
Losuia Airport,LSA,,PG-MBA,PG
Kopiago Airport,KPA,,PG-HE,PG
Kiunga Airport,UNG,,PG-WPD,PG
Kanainj Airport,KNE,,PG-MPM,PG
Kikori Airport,KRI,,PG-GPK,PG
Kerema Airport,KMA,,PG-GPK,PG
Kar Kar Airport,KRX,,PG-MPM,PG
Kieta Airport,KIE,,PG-NSB,PG
Kuri Airport,KUQ,,PG-GPK,PG
Kavieng Airport,KVG,,PG-NIK,PG
Londolovit Airport,LNV,,PG-NIK,PG
Lab Lab Airport,LAB,,PG-MPL,PG
Lowai Airport,LWI,,PG-MPL,PG
Leron Plains Airport,LPN,,PG-MPL,PG
Lese Airport,LNG,,PG-GPK,PG
Long Island Airport,LSJ,,PG-MPM,PG
Manari Airport,MRM,,PG-NPP,PG
Morobe Airport,OBM,,PG-MPL,PG
Madang Airport,MAG,,PG-MPM,PG
Mount Hagen Kagamuga Airport,HGU,HGU,PG-WHM,PG
Mougulu Airport,GUV,,PG-WPD,PG
Mendi Airport,MDU,,PG-SHM,PG
Momote Airport,MAS,,PG-MRL,PG
Moro Airport,MXH,,PG-SHM,PG
Misima Island Airport,MIS,,PG-MBA,PG
Marawaka Airport,MWG,,PG-EHG,PG
Nankina Airport,NKN,,PG-MPM,PG
